Epoch	ERROR1	TIME	
00000404	31.785342	26:15:07:49
00000405	31.689775	26:15:07:49
00000406	31.600016	26:15:07:49
00000407	31.515040	26:15:07:49
00000408	31.434070	26:15:07:49
00000409	31.356607	26:15:07:49
00000410	31.281846	26:15:07:49
00000411	31.209196	26:15:07:49
00000412	31.138153	26:15:07:49
00000413	31.068267	26:15:07:49
00000414	30.999308	26:15:07:49
00000415	30.930801	26:15:07:49
00000416	30.862213	26:15:07:49
00000417	30.793140	26:15:07:49
00000418	30.723344	26:15:07:49
00000419	30.652213	26:15:07:49
00000420	30.579120	26:15:07:49
00000421	30.503460	26:15:07:49
00000422	30.424613	26:15:07:49
00000423	30.341712	26:15:07:49
00000424	30.253790	26:15:07:49
00000425	30.159777	26:15:07:49
00000426	30.058426	26:15:07:49
00000427	29.948303	26:15:07:49
00000428	29.827932	26:15:07:49
00000429	29.695909	26:15:07:49
00000430	29.550890	26:15:07:49
00000431	29.392084	26:15:07:49
00000432	29.219630	26:15:07:49
00000433	29.034637	26:15:07:49
00000434	28.839317	26:15:07:49
00000435	28.637217	26:15:07:49
00000436	28.432633	26:15:07:49
00000437	28.230145	26:15:07:49
00000438	28.033939	26:15:07:49
00000439	27.847006	26:15:07:49
00000440	27.670909	26:15:07:49
00000441	27.505737	26:15:07:49
00000442	27.350661	26:15:07:49
00000443	27.204117	26:15:07:49
00000444	27.064219	26:15:07:49
00000445	26.929539	26:15:07:49
00000446	26.799306	26:15:07:49
00000447	26.672775	26:15:07:49
00000448	26.550030	26:15:07:49
00000449	26.431735	26:15:07:49
00000450	26.318572	26:15:07:49
00000451	26.210933	26:15:07:49
00000452	26.108910	26:15:07:49
00000453	26.012268	26:15:07:49
00000454	25.920288	26:15:07:49
00000455	25.832113	26:15:07:49
00000456	25.746984	26:15:07:49
00000457	25.664102	26:15:07:49
00000458	25.582511	26:15:07:49
00000459	25.500938	26:15:07:49
00000460	25.418458	26:15:07:49
00000461	25.334179	26:15:07:49
00000462	25.247347	26:15:07:49
00000463	25.157469	26:15:07:49
00000464	25.063980	26:15:07:49
00000465	24.966898	26:15:07:49
00000466	24.866819	26:15:07:49
00000467	24.764904	26:15:07:49
00000468	24.662387	26:15:07:49
00000469	24.560225	26:15:07:49
00000470	24.458849	26:15:07:49
00000471	24.358183	26:15:07:49
00000472	24.257749	26:15:07:49
00000473	24.157038	26:15:07:49
00000474	24.055691	26:15:07:49
00000475	23.953925	26:15:07:49
00000476	23.852388	26:15:07:49
00000477	23.752182	26:15:07:49
00000478	23.654593	26:15:07:49
00000479	23.560786	26:15:07:49
00000480	23.471382	26:15:07:49
00000481	23.386287	26:15:07:49
00000482	23.305083	26:15:07:49
00000483	23.227216	26:15:07:49
00000484	23.151960	26:15:07:49
00000485	23.078628	26:15:07:49
00000486	23.006491	26:15:07:49
00000487	22.934866	26:15:07:49
00000488	22.863094	26:15:07:49
00000489	22.790556	26:15:07:49
00000490	22.716503	26:15:07:49
00000491	22.640152	26:15:07:49
00000492	22.560676	26:15:07:49
00000493	22.477145	26:15:07:49
00000494	22.388498	26:15:07:49
00000495	22.293528	26:15:07:49
00000496	22.190942	26:15:07:49
00000497	22.079249	26:15:07:49
00000498	21.957066	26:15:07:49
00000499	21.823024	26:15:07:49
00000500	21.676363	26:15:07:49
00000501	21.517275	26:15:07:49
00000502	21.346905	26:15:07:49
00000503	21.167692	26:15:07:49
00000504	20.983472	26:15:07:49
00000505	20.798482	26:15:07:49
00000506	20.616915	26:15:07:49
00000507	20.442315	26:15:07:49
00000508	20.277205	26:15:07:49
00000509	20.123347	26:15:07:49
00000510	19.981616	26:15:07:49
00000511	19.852364	26:15:07:49
00000512	19.735061	26:15:07:49
00000513	19.628399	26:15:07:49
00000514	19.530874	26:15:07:49
00000515	19.441031	26:15:07:49
00000516	19.357520	26:15:07:49
00000517	19.279151	26:15:07:49
00000518	19.204763	26:15:07:49
00000519	19.133241	26:15:07:49
00000520	19.063668	26:15:07:49
00000521	18.995235	26:15:07:49
00000522	18.927127	26:15:07:49
